Index, Date, Time, Latitude, Longitude, Altitude, Speed, Course, Distance, Type, Timeout, MSVs_QCN, Weight Criteria, SleepTime, EHPE, Satelite ID
0001, 2009/04/03, 03:56:00, 0.000000, 0.000000, 31.599998, 0, 0, 0.000000, -2(000000D2), 15, 80, 0, 255, 0,  -------- -------- -------- --------
0002, 2009/04/03, 03:56:04, 41.549648, -93.600914, 310.729980, 0, 282, 0.000000, 00(00000082), 6, 87, 41, 255, 400,  -------X -X---X-- ---X---- XXX--X--
0003, 2009/04/03, 03:56:08, 41.549648, -93.600914, 310.729980, 0, 267, 0.000000, 00(00000000), 1, 52, 45, 0, 256,  -------X -----X-- -------- -XX--X--
0004, 2009/04/03, 03:56:13, 41.549625, -93.600914, 297.250000, 1656, 258, 2.545050, 00(00000000), 1, 43, 45, 0, 320,  -------X -----X-- ---X---- -X------
0005, 2009/04/03, 03:56:18, 41.549618, -93.600906, 298.690002, 0, 295, 1.059614, 00(00000000), 1, 33, 45, 0, 304,  -------X -----X-- ---X---- --------
0006, 2009/04/03, 03:56:21, 41.549618, -93.600906, 298.690002, 0, 354, 0.000000, -1(00000004), 1, 33, 45, 0, 320,  -------X -----X-- ---X---- --------
0007, 2009/04/03, 03:56:23, 41.549618, -93.600906, 298.690002, 0, 251, 0.000000, -1(00000004), 1, 43, 45, 0, 288,  -------X -----X-- ---X---- --X-----
0008, 2009/04/03, 03:56:27, 41.549618, -93.600906, 298.690002, 0, 77, 0.000000, 00(00000000), 1, 76, 45, 0, 272,  -------X -X---X-- ---X---- X-X--X--
0009, 2009/04/03, 03:56:32, 41.549618, -93.600906, 298.690002, 0, 115, 0.000000, 00(00000000), 1, AA, 45, 0, 176,  -------X -X---X-- X--X---- XXX--X--
0010, 2009/04/03, 03:56:37, 41.549622, -93.600777, 294.449982, 360, 147, 10.801453, 00(00000000), 1, A8, 45, 0, 144,  -------X -X------ X--X---- XXX--X--
0011, 2009/04/03, 03:56:42, 41.549614, -93.600792, 294.380005, 1656, 183, 1.527101, 00(00000000), 1, AA, 45, 0, 128,  -------X -X---X-- X--X---- XXX--X--
0012, 2009/04/03, 03:56:47, 41.549618, -93.600792, 293.239990, 2988, 357, 0.424175, 00(00000000), 1, AA, 45, 0, 112,  -------X -X---X-- X--X---- XXX--X--
0013, 2009/04/03, 03:56:52, 41.549629, -93.600807, 292.559998, 2124, 239, 1.797681, 00(00000000), 1, A9, 45, 0, 96,  -------X -X---X-- X--X---- XXX--X--
0014, 2009/04/03, 03:56:57, 41.549633, -93.600815, 291.630005, 2844, 61, 0.763550, 00(00000000), 1, A9, 45, 0, 96,  -------X -X---X-- X--X---- XXX--X--
0015, 2009/04/03, 03:57:02, 41.549633, -93.600807, 291.529999, 0, 326, 0.634889, 00(00000000), 1, A9, 45, 0, 112,  -------X -X---X-- X--X---- XXX--X--
0016, 2009/04/03, 03:57:07, 41.549633, -93.600807, 291.529999, 0, 75, 0.000000, 00(00000000), 1, AA, 45, 0, 96,  -------X -X---X-- X--X---- XXX--X--
0017, 2009/04/03, 03:57:12, 41.549633, -93.600807, 291.529999, 0, 219, 0.000000, 00(00000000), 1, AA, 45, 0, 96,  -------X -X---X-- X--X---- XXX--X--
0018, 2009/04/03, 03:57:17, 41.549652, -93.600784, 290.479980, 216, 156, 2.850591, 00(00000000), 1, AA, 45, 0, 96,  -------X -X---X-- X--X---- XXX--X--
0019, 2009/04/03, 03:57:17, 41.549652, -93.600784, 290.479980, 216, 156, 0.000000, -4(00000020), 1, AA, 31, 0, 96,  -------X -X---X-- X--X---- XXX--X--
